,GT,三星,SAMSUNG
,17VEE,17VEE,17VEE
21克,21KE,21克,21KE
,35PAD,35PAD,35PAD
,360,360,
奇虎,QIHU,360,
,3GNET,3GNET,3GNET
钛金手机,8848,8848,
,A-ONE,A-ONE,A-ONE
,AGM,AGM,AGM
,AOC,AOC,AOC
AO史密斯,AOSMITH,AO史密斯,AOSMITH
ASANO朝野,ASANO,ASANO朝野,ASANO
,ACER,Acer宏碁,ACER
阿尔卡特,ALCATEL,ALCATEL,ALCATEL
蚂蚁手机,ANT ONE,ANT ONE,ANT ONE
封神,B-LINK,B-LINK,B-LINK
,BL,B-LINK,B-LINK
贝科,BELCO,BELCO,BELCO
,BROR,BROR,BROR
巴鲁,BARU,BARU 巴鲁,BARU 
,CANTV,CANTV,CANTV
,CHIMEI,CHIMEI,CHIMEI
,CIARA,CIARA,CIARA
,COMIO,COMIO,COMIO
爱欧迪,COWON,COWON,COWON
,CHERRYPAD,CHERRYPAD,CHERRYPAD
,CLASSMATE PC,CLASSMATE PC,CLASSMATE PC
云罐,CLOUD CAN 云罐,CLOUD CAN 云罐,CLOUD CAN
中恒,HDEC,DEC中恒,DECZH
,DREAMBOOK,DREAMBOOK,DREAMBOOK
,DVICO,DVICO,DVICO
,EKING,EKING,EKING
,EMC,EMC,EMC
,EXOPC,EXOPC,EXOPC
E人,,E人,
E人E本,EBEN,E人E本,EBEN
e人e本,EBEN,E人E本,EBEN
E学派,E10,E学派,HAIER
,,E王,
E线高清,EL,E线高清,EL
华锋,ELH,E路航,ELH
,GRID,FUSION GARAGE,FUSION GARAGE
,G'FIVE,G'FIVE,G'FIVE
,GIT,GIT,GIT
,GIADA,GIADA,GIADA
金阶,GIGASET,GIGASET金阶,GIGASET
,GREATWAY,GREATWAY,GREATWAY
,HKC,HKC,HKC
,HOTT,HOTT,HOTT
,HTC,HTC,HTC
渴望,DESIRE,HTC,HTC
灵感,,HTC,HTC
野火,,HTC,HTC
,HYC,HYC,HYC
凌志,HYCAV,HYCAV国品,HYCAV
,I-BOX,I-BOX,I-BOX
,ICD,ICD,ICD
,GEMINI,ICD,ICD
,ICOO,ICOO,ICOO
,IPDVD,IPDVD,IPDVD
泡芙小姐,IUNI,IUNI,IUNI
英特尔,INTEL,INTEL,INTEL
,JAV,JAV,JAV
京东平板,JDTAB,JDTAB,JDTAB
杰弘晟,JIHOSEN,JIHOSEN杰弘晟,JIHOSEN
,JVC,JVC,JVC
,JOOJOO,JOOJOO,JOOJOO
,K2,K2,K2
,KTC,KTC,KTC
,KUPA,KUPA,KUPA
,KNO,KNO,KNO
棒棒糖,LG,LG,LG
,LOKIS,LOKIS,LOKIS
,LUVPAD,LUVPAD,LUVPAD
老爷子,MANN,MANN,MANN
,MAGICPAD,MAGICPAD,MAGICPAD
,MOTO,MOTO,MOTO
海军上将,,MOTO,MOTO
里程碑,,MOTO,MOTO
,MOUSE COMPUTER,MOUSE COMPUTER,MOUSE COMPUTER
纽索,NESO,NESO,NESO
,NXTRE,NXTRE,NXTRE
,NOTIONINK,NOTION INK,NOTIONINK
,OPPO,OPPO,OPPO
,FIND,OPPO,OPPO
,ORANGE,ORANGE,ORANGE
聚力,PPTV,PPTV,PPTV
品铂,PIPO,PIPO,PIPO
,QNAP,QNAP,QNAP
,RAYNOVA,RAYNOVA,RAYNOVA
汤姆逊,RCA,RCA,RCA
瑞珀,REALPLAY,REALPLAY 瑞珀,REALPLAY
,RELIANCE,RELIANCE,RELIANCE
,RUNBO,RUNBO,RUNBO
先科,SAST,SAST,SAST
,SECAS,SECAS,SECAS
,SMARTBOX,SMARTBOX,SMARTBOX
,SMP,SMP,SMP
,STARVF,STARVF,STARVF
糖果,SUGAR,SUGAR,SUGAR
超级盒子,SBOX,SBOX,SBOX
,SHOGO,SHOGO,SHOGO
,T-MOBILE,T-MOBILE,T-MOBILE
晚美,TCL,TCL,TCL
么么哒,,TCL,TCL
蒙宝欧,,TCL,TCL
施耐德,,TCL,TCL
云图,,TCL,TCL
哎呦电视,,TCL,TCL
云乐,,TCL,TCL
,TP-LINK,TP-LINK,TP-LINK
,TVIX,TVIX,TVIX
,TEAMGEE,TEAMGEE,TEAMGEE
,UPLINK,UPLINK,UPLINK
UT蛋蛋,UT,UT斯达康,UT
,VAIO,VAIO,VAIO
,VANO,VANO,VANO
,VEB,VEB,VEB
,VIDAA,VIDAA,VIDAA
,VOYO,VOYO,VOYO
,VILIV,VILIV,VILIV
,VINCI,VINCI,VINCI
,YTSH,YTSH,YTSH
,YOTAPHONE,YOTAPHONE,YOTAPHONE
,ZINO,ZINO,ZINO
,ZIILABS,ZIILABS,ZIILABS
,ENJOYPAD,ENJOYPAD,ENJOYPAD
,I-STATION,I-STATION,I-STATION
,IHKC,IHKC,IHKC
,IMITO,IMITO,IMITO
,IMOO,IMOO,IMOO
奕骆,INNOS,INNOS,INNOS
艾贝,IOBEY,IOBEY艾贝,IOBEY
华银,ITC,ITC华银,ITC
,ITOOS,ITOOS,ITOOLS
小骨,IVVI,IVVI,IVVI
,JAV,JAV,JAV
,MANTA,MANTA,MANTA
微星,MSI,MSI微星,MSI
,NETBOOK,NETBOOK,NETBOOK
